,region_code,region,provinces,geometry,<3_F,3-11_F,11-19_F,19-25_F,25-50_F,50-65_F,65-75_F,>=75_F,<3_M,3-11_M,11-19_M,19-25_M,25-50_M,50-65_M,65-75_M,>=75_M,<3,3-11,11-19,19-25,25-50,50-65,65-75,>=75
0,1,Piemonte,"[{'province_code': 1, 'pr",POLYGON ,40122.0,131269.0,149768.0,112474.0,614252.0,506764.0,279224.0,348632.0,42361.0,138788.0,159618.0,123911.0,629878.0,490464.0,251918.0,236907.0,82483.0,270057.0,309386.0,236385.0,1244130.0,997228.0,531142.0,585539.0
1,3,Lombardia,"[{'province_code': 12, 'p",MULTIPOLYGON ,103867.0,336353.0,378153.0,274455.0,1520576.0,1144338.0,586818.0,716916.0,109087.0,356547.0,403719.0,303888.0,1572013.0,1135834.0,524720.0,475720.0,212954.0,692900.0,781872.0,578343.0,3092589.0,2280172.0,1111538.0,1192636.0
2,5,Veneto,"[{'province_code': 23, 'p",POLYGON ,48285.0,157284.0,182441.0,136850.0,718105.0,578543.0,291166.0,354328.0,51390.0,166176.0,194064.0,149055.0,737009.0,573454.0,267403.0,242192.0,99675.0,323460.0,376505.0,285905.0,1455114.0,1151997.0,558569.0,596520.0
