,region_code,region,provinces,geometry,<3_F,3-11_F,11-19_F,19-25_F,25-50_F,50-65_F,65-75_F,>=75_F,<3_M,3-11_M,11-19_M,19-25_M,25-50_M,50-65_M,65-75_M,>=75_M,<3,3-11,11-19,19-25,25-50,50-65,65-75,>=75
0,3.0,Lombardia,"[{'province_code': 12, 'p",MULTIPOLYGON ,103867.0,336353.0,378153.0,274455.0,1520576.0,1144338.0,586818.0,716916.0,109087.0,356547.0,403719.0,303888.0,1572013.0,1135834.0,524720.0,475720.0,212954.0,692900.0,781872.0,578343.0,3092589.0,2280172.0,1111538.0,1192636.0
1,5.0,Veneto,"[{'province_code': 23, 'p",POLYGON ,48285.0,157284.0,182441.0,136850.0,718105.0,578543.0,291166.0,354328.0,51390.0,166176.0,194064.0,149055.0,737009.0,573454.0,267403.0,242192.0,99675.0,323460.0,376505.0,285905.0,1455114.0,1151997.0,558569.0,596520.0
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,15.0,Campania,"[{'province_code': 61, 'p",MULTIPOLYGON ,65798.0,201345.0,239653.0,185798.0,909861.0,641838.0,320637.0,311913.0,69298.0,213525.0,253444.0,200452.0,907541.0,602405.0,288497.0,212415.0,135096.0,414870.0,493097.0,386250.0,1817402.0,1244243.0,609134.0,524328.0
